cik,symbol,year,quarter,filing_url
313616,DHR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1513965/0001628280-18-012284.txt
313927,CHD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1335360/0001127602-18-028980.txt
315189,DE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1559514/0001567619-18-003454.txt
315213,RHI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1411906/0001209191-18-053316.txt
315293,AON,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1486343/0001214659-18-006352.txt
315852,RRC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1559294/0001109357-18-000083.txt
316709,SCHW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1472588/0001562180-18-004098.txt
318154,AMGN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1304554/0001161697-18-000464.txt
319201,KLAC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1577417/0001123292-18-000977.txt
320187,NKE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1331802/0001209191-18-053202.txt
320193,AAPL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1692622/0001225208-18-014159.txt
350698,AN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1397146/0000010254-18-000042.txt
350797,EV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1289294/0001209191-18-053236.txt
350894,SEIC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1340351/0001032220-18-000080.txt
352541,LNT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1352618/0001628280-18-012293.txt
352915,UHS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/715446/0001513162-18-000249.txt
354190,AJG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1156039/0001127602-18-029583.txt
354707,HE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1297010/0001209191-18-053036.txt
354908,FLIR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1620083/0001620083-18-000022.txt
354950,HD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1405073/0001209191-18-053379.txt
355811,GNTX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1422841/0001179110-18-011892.txt
701221,CI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1398733/0001140361-18-039942.txt
701374,SIX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1739445/0001739445-18-000015.txt
701985,LB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1754938/0001104659-18-060763.txt
702165,NSC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1323134/0000014272-18-000185.txt
704051,LM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1091748/0000899243-18-026310.txt
707549,LRCX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1718998/0001127602-18-028756.txt
711404,COO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1498122/0001213900-18-013543.txt
712515,EA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1596532/0001596532-18-000223.txt
713676,PNC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1209028/0000899243-18-025792.txt
715957,D,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1569187/0000925421-18-000322.txt
717423,MUR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1377480/0000757011-18-000094.txt
717605,HXL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1360597/0001050825-18-000162.txt
718877,ATVI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1428205/0001428205-18-000247.txt
719739,SIVB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1399885/0001680247-18-000081.txt
719955,WSM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1580189/0001209191-18-053973.txt
720005,RJF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1480501/0001179110-18-011828.txt
721371,CAH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1336059/0001104659-18-060073.txt
723125,MU,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1716010/0001245105-18-000121.txt
723254,CTAS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1464822/0000927066-18-000185.txt
